file_name,row_count,description
00_readme_dataset_manifest_final.csv,23,最终版数据包目录和每个CSV行数说明。
01_national_low_altitude_indicators_2023_2025_clean.csv,84,全国低空经济/通航/无人机/机场/安全/数字化基础指标，长表结构，含同比。
02_regional_ga_uav_units_2023_2025_clean.csv,42,七大地区传统通航企业与无人机运营单位数据，含占比与同比。
03_airport_airspace_context_and_safety_clean.csv,81,机场区域分布、吞吐量、起降架次、机场分档、PBN/RNP/ADS-B等空域安全背景数据。
04_uav_cloud_operations_2023_expanded_clean.csv,39,无人机操控员、考试点、云系统数据、飞行高度/速度/时段分布等专题数据。
05_city_policy_targets_cases_final_clean.csv,158,城市/区域低空经济政策目标与监管平台案例，新增广东、深圳、苏州、上海、重庆、安徽、南通、房山、山东、浙江等。
06_platform_safety_sensing_field_dictionary_final.csv,716,平台字段字典最终版：覆盖身份、审批、空域、遥测、感知、气象、告警、应急、数据质量、权限、模型等模块。
07_application_scenario_kpi_matrix_final.csv,384,16类低空应用场景×24个KPI，共384行，可直接做指标体系、看板和PPT。
08_public_data_catalog_for_low_altitude_platform_final.csv,43,低空平台可继续扩展的数据源目录：公开、受限、接口、商业、学术数据源分类。
09_city_reference_centers_and_demo_index.csv,20,20个重点城市参考坐标、区域和演示指数，用于生成网格、航线、热力图样例。
10_airspace_grid_risk_sample_10000.csv,10000,1万行城市空域网格风险样本，可做热力图、风险分级、空间分布图；标注为模拟演示数据。
11_sensor_station_coverage_sample_1000.csv,1000,1000行多源感知设备/站点覆盖样本，包含雷达、光电、射频、5G-A、气象等。
12_vertiport_node_sample_900.csv,900,900行起降点/垂直起降场节点样本，可做基础设施布局和容量分析。
13_route_corridor_sample_1200.csv,1200,1200行低空航线/走廊样本，包含场景、距离、高度、日计划架次和管控要求。
14_flight_plan_application_sample_8000.csv,8000,8000行飞行计划申报样本，适合做审批漏斗、计划通过率、场景分布和风险分布。
15_realtime_telemetry_sample_30000.csv,30000,3万行实时遥测样本，包含经纬度、高度、速度、电量、通信质量、远程识别和电子围栏状态。
16_alert_event_response_sample_6000.csv,6000,6000行风险告警与处置样本，适合做告警类型、等级、闭环率和处置时长分析。
17_risk_model_feature_sample_6000.csv,6000,6000行风险模型特征样本，含网格、天气、感知覆盖、历史告警和风险事件标签。
18_dashboard_summary_pivot_ready.csv,123,可直接导入PPT/Excel的数据看板汇总表：全国、城市网格、飞行计划、告警等聚合指标。
19_open_research_uav_dataset_catalog.csv,4,可进一步下载的公开学术无人机/低空视觉数据集目录，用于算法训练或场景演示。
99_source_urls_and_notes_final.csv,19,最终版数据包全部来源链接与说明。
README_data_use_notes.csv,5,数据使用说明、分层口径、不可误用提醒。
TOTAL_ROWS,64841,最终版数据包总行数；含真实公开数据、政策目标、平台字段字典、KPI模板和明确标注的模拟演示样本。
