city,city_code,center_lat,center_lon,region,policy_activity_index,low_altitude_demo_level,data_nature,note
北京,110000,39.9042,116.4074,华北,79.6,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
上海,310000,31.2304,121.4737,华东,87.4,领先示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
广州,440100,23.1291,113.2644,中南,82.2,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
深圳,440300,22.5431,114.0579,中南,86.9,领先示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
苏州,320500,31.2989,120.5853,华东,77.0,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
南京,320100,32.0603,118.7969,华东,71.4,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
杭州,330100,30.2741,120.1551,华东,70.8,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
重庆,500000,29.563,106.5516,西南,67.5,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
成都,510100,30.5728,104.0668,西南,70.3,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
合肥,340100,31.8206,117.2272,华东,73.1,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
武汉,420100,30.5928,114.3055,中南,71.2,重点示范,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
西安,610100,34.3416,108.9398,西北,62.1,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
青岛,370200,36.0671,120.3826,华东,68.5,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
珠海,440400,22.2711,113.5767,中南,65.0,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
东莞,441900,23.0207,113.7518,中南,58.8,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
南通,320600,31.9802,120.8943,华东,53.5,起步,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
厦门,350200,24.4798,118.0894,华东,56.5,发展,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
长沙,430100,28.2282,112.9388,中南,54.4,起步,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
郑州,410100,34.7466,113.6254,中南,52.4,起步,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
海口,460100,20.044,110.1999,中南,43.1,起步,city_reference_and_demo_index,坐标为城市中心参考点；policy_activity_index为数据包内演示用综合指数，不代表官方排名。
