dataset_id,dataset_name,provider,dataset_type,available_fields_or_content,update_frequency,access_method,platform_usage,data_nature,note
DS001,民航行业发展统计公报,CAAC/MOT,官方统计,全国通航、无人机、机场、飞行小时、安全指标,年,公开PDF,官方宏观口径，可做背景与基准,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS002,民用无人驾驶航空器操控员和云系统数据统计报告,CAAC,官方统计/专题报告,操控员、考试点、云系统运行、飞行高度/速度/高峰时段,年,公开网页/PDF,平台运行画像和阈值建模,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS003,无人机云系统数据规范 MH/T 2011-2019,CAAC,行业标准,云系统数据项、数据交换规范,标准,公开PDF/标准公告,平台接入字段与接口设计,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS004,地方低空经济行动方案,省市政府,政策目标,产业规模、起降点、航线、平台建设、监管体系,不定期,政府官网,城市案例与建设目标,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS005,低空经济监管沙盒/试点信息,地方政府/交通部门,试点数据,测试场景、采集字段、应急流程,不定期,政府官网,安全验证和指标设计,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS006,通用机场公开名录/机场情报资料,CAAC/地方机场管理,基础设施,机场位置、等级、跑道、净空约束,不定期,公开网页/PDF,起降点与净空风险叠加,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS007,国家地理信息公共服务平台/天地图,自然资源部门,GIS底图,行政区、道路、水系、POI、影像底图,持续更新,开放/申请,平台底图和空间分析,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS008,OpenStreetMap,OSM社区,开放地理数据,道路、建筑、土地利用、水系、兴趣点,持续更新,开放数据,低空航线规划和障碍/敏感区域初筛,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS009,城市CIM/BIM公开数据,住建/自然资源部门,城市三维底座,建筑高度、地块、地下空间、公共设施,不定期,部分开放/政务共享,三维空域网格与障碍物建模,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS010,SRTM/ASTER/ALOS DEM,NASA/JAXA等,地形高程,DEM地形高程,静态/周期更新,开放数据,地形障碍、相对高度计算,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS011,ERA5/ERA5-Land,ECMWF/Copernicus,气象再分析,风、温度、降水、能见度替代指标,小时级,开放数据,低空气象背景与历史风险,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS012,中国气象数据网,中国气象局,气象观测,地面站、雷达、短临预报、气象灾害,小时/日,注册/申请,低空气象风险预警,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS013,OpenAQ,OpenAQ,空气质量,PM2.5、PM10、O3等,小时级,开放API,环保巡检和环境监测场景,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS014,应急管理公开灾害数据,应急管理部门,事件数据,自然灾害、救援、应急资源,不定期,公开报告/政务共享,应急救援场景需求,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS015,交通拥堵/路网数据,交通部门/地图平台,城市运行数据,道路、拥堵、交通枢纽、物流节点,分钟/小时,公开或商业API,低空物流需求和替代效益,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS016,医院/血站/急救中心POI,卫健委/地图平台,公共服务设施,医疗机构位置、等级、服务范围,不定期,公开/地图API,医疗物资运输场景,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS017,学校/政府机关/敏感场所POI,教育/政务/地图平台,敏感区域,重点保护区域位置,不定期,公开/政务共享,禁限飞区和风险分级,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS018,电力杆塔/输电线路数据,电网企业/公开地图,基础设施,线路走廊、杆塔、变电站,不定期,企业/政务共享,巡检场景与障碍物风险,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS019,水务/河湖数据,水务部门,地理监管对象,河道、水库、闸站、排口,不定期,公开/政务共享,城市治理巡检航线,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS020,林草/自然保护地数据,林草部门,生态敏感区,保护地、森林、湿地、火险等级,日/不定期,公开/申请,生态巡检与禁限飞区,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS021,大型活动公告/临时管制区,公安/交通/民航部门,事件与管制,大型活动、临时交通/空域限制,事件级,公告,临时风险管控,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS022,ADS-B Exchange/OpenSky Network,社区/研究网络,有人机轨迹,民航/通航ADS-B轨迹,秒级/分钟级,开放/研究许可,低空与有人机运行冲突背景，非无人机主体,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS023,FAA UAS Sightings,FAA,海外公开事件,无人机目击/异常报告,月/季,开放CSV,黑飞/异常事件建模参考,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS024,NASA ASRS,NASA,航空安全报告,飞行员自愿安全事件报告,月/季,开放,安全事件文本分析参考,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS025,城市噪声监测数据,生态环境部门,环境感知,噪声监测点数据,小时/日,公开/申请,低空噪声影响评估,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS026,人口栅格数据 WorldPop/LandScan,科研机构,人口暴露,人口密度栅格,年,开放/许可,人群风险暴露评估,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS027,夜间灯光数据 VIIRS,NOAA/NASA,活动强度,夜间灯光亮度,月/年,开放,城市活跃区域和潜在需求,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS028,POI与商圈数据,地图平台,商业需求,商圈、社区、写字楼、景区,持续更新,商业API,配送和文旅起降点选址,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS029,遥感影像 Sentinel/Landsat,ESA/USGS,遥感底图,土地覆盖、建设变化,天/周,开放,障碍物变化和场景识别,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS030,建筑轮廓开源数据,OSM/Microsoft等,建筑物,建筑轮廓、高度补充数据,不定期,开放,三维航线避障,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS031,铁路/高铁/地铁线路数据,交通部门/OSM,交通设施,线路、站点、车辆段,不定期,公开/OSM,敏感设施避让和物流衔接,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS032,港口/码头/物流园区名录,交通/商务部门,物流节点,园区、仓储、码头、口岸,不定期,公开,低空物流场景,public_data_catalog,目录型清单，需按具体城市继续下载或申请接口。
DS033,地方低空经济行动方案,地方政府,政策目标,产业规模、起降点、航线、试验区、飞行服务站,不定期,政府网站,政策目标拆解/城市对标,public_data_catalog,优先取政府官网原文
DS034,无人机实名登记/运营资质数据,民航/地方监管平台,监管业务数据,飞行器、机主、运营单位、证照状态,实时/日,需申请接口,身份识别/准入管理,restricted_catalog,通常不公开明细
DS035,飞行计划申报数据,低空飞行服务平台,业务数据,申请人、航线、时间窗、空域、审批状态,实时,需平台接口,飞行计划审批/冲突检测,restricted_catalog,平台自有数据
DS036,遥测/轨迹数据,无人机云系统/运营平台,运行数据,经纬度、高度、速度、电量、航向、链路状态,秒级,需接口/授权,实时态势感知/风险预警,restricted_catalog,公开资料通常只有汇总统计
DS037,低空感知设备数据,雷达/光电/射频/5G-A/北斗,感知数据,目标ID、方位、距离、高度、置信度,秒级,设备接口,黑飞识别/多源融合,restricted_catalog,需要设备或试点项目
DS038,气象实况与预报,气象局/商业气象,环境数据,风速、阵风、降水、能见度、雷暴、温湿度,分钟/小时,API/公开站点,气象风险评估,public_or_api,城市级平台需微气象
DS039,人口密度与POI,统计/地图服务,城市空间数据,人口、学校、医院、商圈、政务场所,月/年,公开/商业API,风险敏感区识别,public_or_commercial,地图服务可能有限制
DS040,机场净空保护区数据,机场/民航/自然资源,空域约束数据,净空面、障碍物限制面、进近航线,不定期,需申请/公开图则,空域规则校验,restricted_or_public,正式项目需权威数据
DS041,重大活动/临时管制数据,公安/空管/地方政府,管制数据,管制范围、时间、规则、责任单位,事件触发,公告/接口,临时禁飞区/告警,public_or_restricted,需及时更新
DS042,遥感影像/三维城市模型,自然资源/住建/地图,空间底座,建筑高度、地形、道路、水系,不定期,公开/采购,低空航路规划/遮挡分析,public_or_commercial,需注意坐标系与保密
DS043,公开学术无人机视觉数据集,科研机构,算法训练数据,视频、图像、标注、传感器元数据,不定期,下载,目标识别/算法演示,open_research_dataset,AU-AIR/UAV-Human/CitySim等
